band_number,Disposition,Species,Nestbox,Site,Banding Date,Age,How Aged,Sex,How Sexed,Status,Right Wing Chord (mm),Weight (g),Fat Score,Tail Length (mm),Skull Length (mm),Nares-Tip (mm),Tarsus (mm),Initials,Right Leg Color,Left Leg Color,Comments,Blood number,entry_order,color,life_stage
2941-94414,NA,WEBL,MBNR4,Mace Boulevard,5/10/2022,L,NN,M,PL,333,60,25.8,4,21,32,5.4,19.3,CP,-,-,Red,B091,1333,Red,nestling
2941-94415,NA,WEBL,MBNR4,Mace Boulevard,5/10/2022,L,NN,F,PL,333,59,24.4,4,22,32.9,5.6,21.2,VW,-,-,Blue,B092,1334,Blue,nestling
2941-94416,NA,WEBL,MBNR4,Mace Boulevard,5/10/2022,L,NN,M,PL,333,57,25.9,4,21,29.5,5.3,21.6,VW,-,-,Yellow ,-,1335,Yellow ,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/19/2021,L,NN,U,NA,300,8,3.8,4,0,14.5,2.2,5.9,KL,-,-,Purple,-,265,Purple,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/19/2021,L,NN,U,NA,300,7,2.3,4,0,12.8,1.8,4.9,KL,-,-,Blue,-,266,Blue,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/19/2021,L,NN,U,NA,300,7,3,4,0,13.8,1.8,5.1,KL,-,-,Green,-,267,Green,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/19/2021,L,NN,U,NA,300,8,2.6,4,0,13.7,1.8,5.5,KL,-,-,Pink,-,268,Pink,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/19/2021,L,NN,U,NA,300,7,2.2,4,0,12.7,1.4,4.3,KL,-,-,Yellow,-,269,Yellow,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/26/2021,L,NN,U,NA,300,31,18.5,4,3,23.1,3.9,12.6,KL,-,-,Blue,-,317,Blue,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/26/2021,L,NN,U,NA,300,38,21.8,4,7,22.4,3.8,12,KL,-,-,Purple,-,318,Purple,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/26/2021,L,NN,U,NA,300,33,18.1,4,5,22.9,3.9,11.8,KL,-,-,Green,-,319,Green,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/26/2021,L,NN,U,NA,300,33,17.8,4,5,23.1,3.8,12.2,KL,-,-,Pink,-,320,Pink,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,5/26/2021,L,NN,U,NA,300,29,16.1,4,3,22.2,3.5,11.6,KL,-,-,Yellow,-,321,Yellow,nestling
2631-20679,NA,TRES,MBNR5,Mace Boulevard,5/31/2021,L,NN,U,NA,333,61,19.4,3,25,25.6,4.6,12.3,KL,-,-,Pink,-,179,Pink,nestling
2631-20680,NA,TRES,MBNR5,Mace Boulevard,5/31/2021,L,NN,U,NA,333,65,22.8,4,26,26.3,4.4,12.5,KL,-,-,Purple,-,180,Purple,nestling
2631-20681,NA,TRES,MBNR5,Mace Boulevard,5/31/2021,L,NN,U,NA,333,62,17.1,4,24,24.7,4.4,12.4,KL,-,-,Green ,-,181,Green ,nestling
2631-20682,NA,TRES,MBNR5,Mace Boulevard,5/31/2021,L,NN,U,NA,333,57,19.8,4,21,25.4,3.9,12.3,KL,-,-,Yellow,-,182,Yellow,nestling
2631-20683,NA,TRES,MBNR5,Mace Boulevard,5/31/2021,L,NN,U,NA,333,59,21,4,22,25.9,4.6,13.1,KL,-,-,Blue,-,183,Blue,nestling
2881-65873,NA,TRES,MBNR5,Mace Boulevard,6/2/2022,SY,PL,F,BP,333,107,16.5,3,52,26.4,4.8,12.1,KL,-,-,,B266,1138,2881-65873,adult
NA,NA,TRES,MBNR5,Mace Boulevard,6/2/2022,L,NN,U,NA,300,9,4,4,0,16,2.2,6.7,CP,-,-,Green,,1236,Green,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,6/2/2022,L,NN,U,NA,300,11,6.2,4,0,16.8,2.4,8,CP,-,-,Purple,,1237,Purple,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,6/2/2022,L,NN,U,NA,300,12,6.1,3,0,17.5,3,10.5,SM,-,-,Red,,1238,Red,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,6/2/2022,L,NN,U,NA,300,9,3.9,4,0,14.7,2.2,6.1,CP,-,-,Blue,,1239,Blue,nestling
NA,NA,TRES,MBNR5,Mace Boulevard,6/2/2022,L,NN,U,NA,300,13,7.1,4,0,18.6,3.4,10.8,SM,-,-,Pink,,1240,Pink,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,4/27/2022,L,NN,U,NA,300,7,2.1,4,0,15.6,1.8,5.6,KL,-,-,Purple,-,937,Purple,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,4/27/2022,L,NN,U,NA,300,7,2.5,4,0,15.2,1.8,4.9,KL,-,-,Blue,-,938,Blue,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,4/27/2022,L,NN,U,NA,300,7,2.6,4,0,14.6,1.8,5.8,KL,-,-,Red,-,939,Red,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,4/27/2022,L,NN,U,NA,300,7,2.1,4,0,14.2,1.7,6,KL,-,-,Orange,-,940,Orange,nestling
2941-94407,NA,WEBL,MBNR6,Mace Boulevard,4/27/2022,AHY,PL,F,PL,333,95,24.6,3,55,35.6,8.9,18.6,KL,-,-,B029,B029,1326,2941-94407,adult
NA,NA,WEBL,MBNR6,Mace Boulevard,5/3/2022,L,NN,U,NA,300,16,13.7,4,0,23.9,3.4,14.6,KG,-,-,Green,,1706,Green,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,5/3/2022,L,NN,U,NA,300,14,12.4,3,0,23.3,3.5,13.6,PGG,-,-,Orange,,1707,Orange,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,5/3/2022,L,NN,U,NA,300,14,12.8,4,0,23.4,3.4,13.2,VW,-,-,Pink,,1708,Pink,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,5/3/2022,L,NN,U,NA,300,15,12.7,3,0,24.1,2.9,13,CP,-,-,Red,,1709,Red,nestling
2941-94417,NA,WEBL,MBNR6,Mace Boulevard,5/10/2022,L,NN,F,PL,333,46,24.3,4,14,29,4.5,19.1,CP,-,-,Green,B093,1336,Green,nestling
2941-94418,NA,WEBL,MBNR6,Mace Boulevard,5/10/2022,L,NN,M,PL,333,44,24.2,4,12,30.5,4.8,19.8,VW,-,-,Orange,B094,1337,Orange,nestling
2941-94419,NA,WEBL,MBNR6,Mace Boulevard,5/10/2022,L,NN,F,PL,333,45,23,4,12,29.4,4.7,19.1,CP,-,-,Red,B095,1338,Red,nestling
2941-94420,NA,WEBL,MBNR6,Mace Boulevard,5/10/2022,L,NN,F,PL,333,45,25.9,4,13,30.3,4.5,18.2,CP,-,-,Pink,,1339,Pink,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/22/2022,L,NN,U,NA,300,8,4.9,4,0,17.4,2.4,7.7,KL,-,-,Blue,,1183,Blue,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/22/2022,L,NN,U,NA,300,8,5.5,4,0,18.9,2.7,7.7,KL,-,-,Purple,,1184,Purple,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/22/2022,L,NN,U,NA,300,9,7.4,4,0,19.6,2.7,8.8,KL,-,-,Red,,1185,Red,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/22/2022,L,NN,U,NA,300,7,2.3,2,0,14.7,2.1,5.1,KL,-,-,Pink,,1186,Pink,nestling
2941-94407,NA,WEBL,MBNR6,Mace Boulevard,6/22/2022,AHY,PL,F,PL,334,93,23.1,2,53,35.8,8.7,19.7,KL,SV/OR,GY/WH,,B290,1905,2941-94407,adult
NA,NA,WEBL,MBNR6,Mace Boulevard,6/29/2022,L,NN,U,NA,300,27,17.6,0,2,26.4,4.6,18.3,VW,-,-,Blue B186,B186,878,Blue,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/29/2022,L,NN,U,NA,300,30,21.3,3,3,27.8,5,18.1,KG,-,-,Red B187,B187,879,Red,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/29/2022,L,NN,U,NA,300,31,18.6,1,3,27.4,4.6,18.4,VW,-,-,Purple B188,B188,880,Purple,nestling
2941-94447,NA,WEBL,MBNR6,Mace Boulevard,7/5/2022,L,NN,M,PL,334,52,24.8,4,20,30.2,5.9,20,VW,SV/OR,WH/GY,Blue,B324,1366,Blue,nestling
2941-94448,NA,WEBL,MBNR6,Mace Boulevard,7/5/2022,L,NN,F,PL,334,57,24.2,3,25,30.7,5.2,19.6,VW,SV/OR,WH/GY,Purple,B325,1367,Purple,nestling
2941-94449,NA,WEBL,MBNR6,Mace Boulevard,7/5/2022,L,NN,M,PL,334,59,26.5,3,22,31.4,5.1,20,VW,SV/OR,WH/GY,Red,B326,1368,Red,nestling
2941-94582,NA,WEBL,MBNR6,Mace Boulevard,6/2/2023,AHY,PL,F,PL,333,98,25.4,3,57,36.7,8.3,20.7,KL,-,-,,B467,1591,2941-94582,adult
2941-94583,NA,WEBL,MBNR6,Mace Boulevard,6/2/2023,AHY,PL,M,PL,333,105,26,3,63,37.2,9,20.3,KL,-,-,,,1592,2941-94583,adult
NA,NA,WEBL,MBNR6,Mace Boulevard,6/2/2023,L,NN,U,NA,300,18,16.2,4,0,24.8,4.1,15.2,KL,-,-,Pink,,1649,Pink,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/2/2023,L,NN,U,NA,300,15,13.4,4,0,24.3,3.8,14.1,KL,-,-,Blue,,1650,Blue,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/2/2023,L,NN,U,NA,300,14,16.8,4,0,25.2,4.1,15.3,KL,-,-,Red,,1651,Red,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/2/2023,L,NN,U,NA,300,15,12.6,4,0,24.6,4,14.1,KL,-,-,Purple,,1652,Purple,nestling
NA,NA,WEBL,MBNR6,Mace Boulevard,6/2/2023,L,NN,U,NA,300,15,13.3,4,0,23.3,3.6,14.1,KL,-,-,Orange,,1653,Orange,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,5/17/2022,L,NN,U,NA,300,10,5.4,3,0,17,2.9,8.2,VW,-,-,Purple,-,721,Purple,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,5/17/2022,L,NN,U,NA,300,10,6,3,0,17.1,2.8,8,VW,-,-,Pink,-,722,Pink,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,5/17/2022,L,NN,U,NA,300,12,6.8,4,0,16.8,2.4,8.1,KL,-,-,Red,-,723,Red,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,5/17/2022,L,NN,U,NA,300,11,5.8,4,0,17,2.8,7.7,VW,-,-,Green,-,724,Green,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,5/17/2022,L,NN,U,NA,300,10,5.6,4,0,17.2,2.1,8.3,KL,-,-,Blue,-,725,Blue,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,5/17/2022,L,NN,U,NA,300,9,5,3,0,16.8,2.5,7.3,KL,-,-,Orange,-,726,Orange,nestling
2881-65827,NA,TRES,MBNR7,Mace Boulevard,5/17/2022,AHY,PL,F,BP,333,112,16.7,2,54,28.4,4.9,13.1,KL,-,-,,B213,1064,2881-65827,adult
2881-65851,NA,TRES,MBNR7,Mace Boulevard,5/26/2022,L,NN,U,NA,333,52,18.4,3,14,25.1,4,12.2,KL,-,-,unknown color,B250,1116,2881-65851,nestling
2881-65852,NA,TRES,MBNR7,Mace Boulevard,5/26/2022,L,NN,U,NA,333,48,19.4,4,12,25.1,4.1,13.8,SM,-,-,unknown color,B251,1117,2881-65852,nestling
2881-65853,NA,TRES,MBNR7,Mace Boulevard,5/26/2022,L,NN,U,NA,333,51,19.6,4,14,24.9,3.9,11.8,KL,-,-,Pink,B252,1118,Pink,nestling
2881-65854,NA,TRES,MBNR7,Mace Boulevard,5/26/2022,L,NN,U,NA,333,52,20.4,4,13,26.1,4.6,12.4,SM,-,-,unknown color,,1119,2881-65854,nestling
2881-65855,NA,TRES,MBNR7,Mace Boulevard,5/26/2022,L,NN,U,NA,333,56,20.3,3,18,25.1,4.2,11.7,KL,-,-,Red,,1120,Red,nestling
2881-65856,NA,TRES,MBNR7,Mace Boulevard,5/26/2022,L,NN,U,NA,333,51,20.8,4,14,23.2,4.1,11.9,KL,-,-,Purple,,1121,Purple,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,6/2/2023,L,NN,U,NA,300,12,6.8,4,0,17.3,2.5,7.7,KL,-,-,Blue,,1644,Blue,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,6/2/2023,L,NN,U,NA,300,10,5.6,4,0,15.4,1.9,6.9,KL,-,-,Pink,,1645,Pink,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,6/2/2023,L,NN,U,NA,300,8,3.5,4,0,14.6,1.9,6.1,KL,-,-,Purple,,1646,Purple,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,6/2/2023,L,NN,U,NA,300,7,2.1,4,0,12.8,1.8,5.2,KL,-,-,Orange,,1647,Orange,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,6/2/2023,L,NN,U,NA,300,8,3.9,4,0,15.2,1.9,6.6,KL,-,-,Red,,1648,Red,nestling
1741-63604,NA,TRES,MBNR7,Mace Boulevard,6/2/2023,AHY,PL,F,BP,333,108,17.6,4,53,28.6,5.4,12.7,KL,-,-,,B466,2085,1741-63604,adult
NA,NA,TRES,MBNR7,Mace Boulevard,6/8/2023,L,NN,U,NA,300,30,16.9,4,3,23.3,4,12.1,KL,-,-,Red,B478,1671,Red,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,6/8/2023,L,NN,U,NA,300,34,19.7,5,5,23.9,3.7,12.3,KL,-,-,Pink,B479,1672,Pink,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,6/8/2023,L,NN,U,NA,300,28,16.3,5,2,22.2,3.2,11.4,KL,-,-,Purple,B480,1673,Purple,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,6/8/2023,L,NN,U,NA,300,36,19.3,5,8,24.1,3.7,11.7,KL,-,-,Blue,B481,1674,Blue,nestling
NA,NA,TRES,MBNR7,Mace Boulevard,6/8/2023,L,NN,U,NA,300,21,12.3,5,1,21.5,3.2,10.8,KL,-,-,Orange,,1675,Orange,nestling
NA,NA,TRES,MBNR8,Mace Boulevard,5/17/2022,L,NN,U,NA,300,11,5.8,3,0,15,2.4,7.8,VW,-,-,Green,-,715,Green,nestling
NA,NA,TRES,MBNR8,Mace Boulevard,5/17/2022,L,NN,U,NA,300,12,7.2,4,0,17.5,2.6,8.4,VW,-,-,Purple,-,716,Purple,nestling
NA,NA,TRES,MBNR8,Mace Boulevard,5/17/2022,L,NN,U,NA,300,13,6.7,4,0,17.1,2.2,8.4,KL,-,-,Blue,-,717,Blue,nestling
NA,NA,TRES,MBNR8,Mace Boulevard,5/17/2022,L,NN,U,NA,300,11,6.8,4,0,17.3,2.9,7.9,VW,-,-,Pink,-,718,Pink,nestling
NA,NA,TRES,MBNR8,Mace Boulevard,5/17/2022,L,NN,U,NA,300,12,7.6,4,0,17,2.6,8.2,VW,-,-,Orange,-,719,Orange,nestling
NA,NA,TRES,MBNR8,Mace Boulevard,5/17/2022,L,NN,U,NA,300,8,4.4,4,0,16.5,2,6.5,KL,-,-,Red,-,720,Red,nestling
1741-63604,NA,TRES,MBNR8,Mace Boulevard,5/17/2022,AHY,PL,F,BP,333,110,16.7,3,52,28.2,4.8,12.9,KL,-,-,,B212,1898,1741-63604,adult
2881-65857,NA,TRES,MBNR8,Mace Boulevard,5/26/2022,L,NN,U,NA,333,46,20.7,5,10,25.7,4.5,14.1,SM,-,-,Red,B253,1122,Red,nestling
2881-65858,NA,TRES,MBNR8,Mace Boulevard,5/26/2022,L,NN,U,NA,333,54,20.6,3,17,25.3,4.2,12.9,KL,-,-,Blue,B254,1123,Blue,nestling
2881-65859,NA,TRES,MBNR8,Mace Boulevard,5/26/2022,L,NN,U,NA,333,51,19.2,3,17,25.4,4.2,12.3,KL,-,-,Pink,B255,1124,Pink,nestling
2881-65860,NA,TRES,MBNR8,Mace Boulevard,5/26/2022,L,NN,U,NA,333,55,19.1,4,18,24.7,4.1,14.6,SM,-,-,Orange,,1125,Orange,nestling
2881-65861,NA,TRES,MBNR8,Mace Boulevard,5/26/2022,L,NN,U,NA,333,52,20,3,18,25.4,3.8,12.1,KL,-,-,Unknown color,,1126,2881-65861,nestling
2881-65862,NA,TRES,MBNR8,Mace Boulevard,5/26/2022,L,NN,U,NA,333,55,20,3,20,24.8,4.3,13,KL,-,-,Purple,,1127,Purple,nestling
NA,NA,TRES,MBNR9,Mace Boulevard,5/26/2021,L,NN,U,NA,300,22,13.8,3,1,21.3,3.1,10.6,KL,-,-,Yellow,-,322,Yellow,nestling
NA,NA,TRES,MBNR9,Mace Boulevard,5/26/2021,L,NN,U,NA,300,25,15.1,4,2,22,3.4,11.1,KL,-,-,Blue,-,323,Blue,nestling
NA,NA,TRES,MBNR9,Mace Boulevard,5/26/2021,L,NN,U,NA,300,20,11.2,4,0,20.5,3.4,9.8,KL,-,-,Pink,-,324,Pink,nestling
NA,NA,TRES,MBNR9,Mace Boulevard,5/26/2021,L,NN,U,NA,300,15,9.9,4,0,19.2,3,8.9,KL,-,-,Purple,-,325,Purple,nestling
NA,NA,TRES,MBNR9,Mace Boulevard,5/26/2021,L,NN,U,NA,300,17,10.3,4,0,19.3,2.9,9.9,KL,-,-,Green,-,326,Green,nestling
2631-20696,NA,TRES,MBNR9,Mace Boulevard,6/2/2021,L,NN,U,NA,333,49,16.8,3,14,24.1,4.2,11.7,KL,-,-,Green,-,196,Green,nestling
2631-20697,NA,TRES,MBNR9,Mace Boulevard,6/2/2021,L,NN,U,NA,333,52,17.2,2,17,24.5,4.3,11.2,KL,-,-,Pink,-,197,Pink,nestling
2631-20698,NA,TRES,MBNR9,Mace Boulevard,6/2/2021,L,NN,U,NA,333,61,19,3,23,25.4,4.5,11.7,KL,-,-,Blue,-,198,Blue,nestling
2631-20699,NA,TRES,MBNR9,Mace Boulevard,6/2/2021,L,NN,U,NA,333,58,18.1,3,22,25.2,4.6,11.8,KL,-,-,Yellow,-,199,Yellow,nestling
2631-20700,NA,TRES,MBNR9,Mace Boulevard,6/2/2021,L,NN,U,NA,333,50,19.5,3,13,25.2,4.6,12.1,KL,-,-,Purple,-,200,Purple,nestling
NA,NA,WEBL,MBNR9,Mace Boulevard,7/7/2021,L,NN,U,NA,300,10,7.4,4,0,19.1,2.1,12.2,KG,-,-,Pink,-,487,Pink,nestling
NA,NA,WEBL,MBNR9,Mace Boulevard,7/7/2021,L,NN,U,NA,300,11,8.5,4,0,19.3,2.6,11.2,KG,-,-,Yellow,-,488,Yellow,nestling
NA,NA,WEBL,MBNR9,Mace Boulevard,7/7/2021,L,NN,U,NA,300,11,9,4,0,20.1,2.5,12.5,KG,-,-,Purple,-,489,Purple,nestling
2040-38042,NA,TRES,MBNR9,Mace Boulevard,6/28/2022,AHY,PL,F,BP,333,107,15.9,2,54,26.8,5.4,11.6,KL,-,-,,B306,1906,2040-38042,adult
NA,NA,WEBL,MCE2,McNamara Orchard,7/5/2022,L,NN,U,NA,300,5,3,2,0,16,2.5,5.9,PGG,-,-,Purple,-,899,Purple,nestling
NA,NA,WEBL,MCE2,McNamara Orchard,7/5/2022,L,NN,U,NA,300,6,2.9,2,0,16.2,2.1,6,KG,-,-,Green,-,900,Green,nestling
NA,NA,WEBL,MCE2,McNamara Orchard,7/5/2022,L,NN,U,NA,300,5,2.5,0,0,14.8,2.1,6.9,PGG,-,-,Red,-,901,Red,nestling
NA,NA,WEBL,MCE2,McNamara Orchard,7/5/2022,L,NN,U,NA,300,6,2.4,0,0,14.9,2,5.8,KG,-,-,Orange,-,902,Orange,nestling
NA,NA,WEBL,MCE2,McNamara Orchard,7/12/2022,L,NN,U,NA,300,23,18.5,5,1,25.8,4.2,17.2,KG,-,-,Purple ,B418,1255,Purple ,nestling
NA,NA,WEBL,MCE2,McNamara Orchard,7/12/2022,L,NN,U,NA,300,24,18.9,5,1,25.6,3.9,18.5,KG,-,-,Green ,B419,1256,Green ,nestling
NA,NA,WEBL,MCE2,McNamara Orchard,7/12/2022,L,NN,U,NA,300,21,15.8,5,1,25,3.6,18.2,KG,-,-,Red,-,1257,Red,nestling
NA,NA,WEBL,MCE2,McNamara Orchard,7/12/2022,L,NN,U,NA,300,21,18,5,1,25.7,4.5,17.8,KG,-,-,Yellow2,-,1258,Yellow2,nestling
NA,NA,WEBL,MCE2,McNamara Orchard,7/12/2022,L,NN,U,NA,300,14,10.6,5,0,22.3,3.4,13.9,KG,-,-,Blue2,-,1259,Blue2,nestling
2941-18524,NA,WEBL,MCE2,McNamara Orchard,7/19/2022,L,NN,F,PL,334,54,27.3,3,18,31,5.3,19.5,YW,GY/GY,SV/GY,Yellow B424,B424,1093,Yellow2,nestling
2941-18525,NA,WEBL,MCE2,McNamara Orchard,7/19/2022,L,NN,U,NA,334,46,25.5,1,8,29.9,4.9,19.8,KG,GY/GY,SV/GY,Blue B425,B425,1094,Blue2,nestling
2941-18526,NA,WEBL,MCE2,McNamara Orchard,7/19/2022,L,NN,F,PL,334,55,27.2,3,19,29.5,5,20.2,KG,GY/GY,SV/GY,Green ,-,1095,Green ,nestling
2941-18527,NA,WEBL,MCE2,McNamara Orchard,7/19/2022,L,NN,M,PL,334,54,27.7,2,19,32.4,5.4,21.1,KG,GY/GY,SV/GY,Purple,-,1096,Purple,nestling
2941-18528,NA,WEBL,MCE2,McNamara Orchard,7/19/2022,L,NN,M,PL,334,55,25.4,3,18,30.5,5.7,20.1,YW,GY/GY,SV/GY,Red,-,1097,Red,nestling
NA,NA,WEBL,MCE3,McNamara Orchard,5/4/2022,L,NN,U,NA,300,16,14.7,5,1,25.5,4.2,14,KL,-,-,Orange,,1734,Orange,nestling
NA,NA,WEBL,MCE3,McNamara Orchard,5/4/2022,L,NN,U,NA,300,13,16.3,4,1,24,4.4,13,KL,-,-,Red,,1735,Red,nestling
NA,NA,WEBL,MCE3,McNamara Orchard,5/4/2022,L,NN,U,NA,300,13,11.7,4,1,23.4,3.8,12.3,KL,-,-,Purple,,1736,Purple,nestling
NA,NA,WEBL,MCE3,McNamara Orchard,5/4/2022,L,NN,U,NA,300,14,14.2,4,1,23.8,3.5,13.5,KL,-,-,Pink,,1737,Pink,nestling
NA,NA,WEBL,MCE3,McNamara Orchard,5/12/2022,L,NN,U,NA,300,41,20.3,0,10,28.8,4.5,19.5,KG,-,-,Pink,B118,1818,Pink,nestling
NA,NA,WEBL,MCE3,McNamara Orchard,5/12/2022,L,NN,U,NA,300,36,16.9,0,5,27.8,4.4,19.2,PGG,-,-,Red,B119,1819,Red,nestling
NA,NA,WEBL,MCE3,McNamara Orchard,5/12/2022,L,NN,U,NA,300,37,20.9,0,9,27.7,4.1,18.5,KG,-,-,Purple,B120,1820,Purple,nestling
NA,NA,WEBL,MCE3,McNamara Orchard,5/12/2022,L,NN,U,NA,300,44,23.8,1,11,29.2,4.2,19.1,PGG,-,-,Orange2,,1821,Orange2,nestling
2941-18504,NA,WEBL,MCE3,McNamara Orchard,5/16/2022,L,NN,F,PL,334,57,24.5,4,23,30.9,4.9,19.5,KL,OR/OR,RD/SV,Pink B209,B209,1073,Pink,nestling
2941-18505,NA,WEBL,MCE3,McNamara Orchard,5/16/2022,L,NN,F,PL,334,62,26.1,4,28,31.2,5.6,19.9,KL,OR/OR,RD/SV,Orange B210,B210,1074,Orange2,nestling
2941-18506,NA,WEBL,MCE3,McNamara Orchard,5/16/2022,L,NN,F,PL,334,54,25.1,4,21,30.2,5.1,18.9,KL,OR/OR,RD/SV,Purple,-,1075,Purple,nestling
NA,NA,TRES,MCE4,McNamara Orchard,5/13/2021,L,NN,U,NA,300,8,3.6,3,0,15.4,2,7.1,KL,-,-,Pink,-,227,Pink,nestling
NA,NA,TRES,MCE4,McNamara Orchard,5/13/2021,L,NN,U,NA,300,9,3.9,4,0,15.1,2.2,6.3,KL,-,-,Purple,-,228,Purple,nestling
NA,NA,TRES,MCE4,McNamara Orchard,5/13/2021,L,NN,U,NA,300,9,4.4,4,0,15.3,2.3,6.6,KL,-,-,Blue,-,229,Blue,nestling
NA,NA,TRES,MCE4,McNamara Orchard,5/13/2021,L,NN,U,NA,300,8,4,4,0,14.8,2,6.5,KL,-,-,Green,-,230,Green,nestling
NA,NA,TRES,MCE4,McNamara Orchard,5/20/2021,L,NN,U,NA,300,36,17.9,4,7,24.2,4.2,11.3,KL,-,-,Green,-,295,Green,nestling
NA,NA,TRES,MCE4,McNamara Orchard,5/20/2021,L,NN,U,NA,300,35,18,4,6,23.4,4.2,11,KL,-,-,Purple,-,296,Purple,nestling
NA,NA,TRES,MCE4,McNamara Orchard,5/20/2021,L,NN,U,NA,300,36,-,4,5,24.6,4.2,12.2,KL,-,-,Pink ,-,297,Pink ,nestling
NA,NA,WEBL,MCO1,McNamara Orchard,5/20/2021,L,NN,U,NA,300,18,15,4,0,23.9,4,15.4,KL,-,-,Bravery <3,-,294,Single,nestling
NA,NA,WEBL,MCO1,Mace Boulevard,5/27/2021,L,NN,M,PL,300,53,26.9,2,15,30.1,5.4,21.7,KL,-,-,Bravery <3,-,348,Single,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/19/2022,L,NN,U,NA,300,7,2,1,0,10.9,2.9,6.8,KG,-,-,Blue,,1738,Blue,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/19/2022,L,NN,U,NA,300,6,2.4,2,0,11.2,1.8,5.7,KG,-,-,Orange,,1739,Orange,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/19/2022,L,NN,U,NA,300,7,2.5,2,0,11.2,2.1,6.4,KG,-,-,Yellow,,1740,Yellow,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/19/2022,L,NN,U,NA,300,6,2.4,3,0,11.1,1.6,6.6,KG,-,-,Pink,,1741,Pink,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/19/2022,L,NN,U,NA,300,6,2.5,3,0,10.7,1.8,6.6,KG,-,-,Green,,1742,Green,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/26/2022,L,NN,U,NA,300,21,17.2,2,2,27.9,4.6,20.3,PGG,-,-,Orange,,1751,Orange,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/26/2022,L,NN,U,NA,300,17,16.2,3,1,26.5,4,17.7,PGG,-,-,Blue2,B041,1752,Blue2,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/26/2022,L,NN,U,NA,300,19,11.8,4,1,25.9,3.6,17.7,VW,-,-,Pink,B039,1753,Pink,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/26/2022,L,NN,U,NA,300,20,,3,1,25.5,4.3,17.3,KG,-,-,Purple2,B040,1754,Purple2,nestling
NA,NA,WEBL,MCO2,McNamara Orchard,4/26/2022,L,NN,U,NA,300,16,,3,0,26,4,16.5,PGG,-,-,Red2,,1755,Red2,nestling
2941-18479,NA,WEBL,MCO2,McNamara Orchard,5/4/2022,L,NN,U,NA,334,52,24,3,21,31.5,6.1,21.7,KL,OR/RD,OR/SV,Orange ,B055,648,Orange ,nestling
2941-18480,NA,WEBL,MCO2,McNamara Orchard,5/4/2022,L,NN,F,PL,334,54,25.5,3,22,32.3,6.4,22.1,KL,OR/RD,OR/SV,Pink ,B056,649,Pink ,nestling
