Timestamp,date,observer,site,box,action,equipment_name,hobo_position,readout,battery_status,memory_status,equipment_type,card_deployed,card_collected,battery_status,memory_status,
6/4/2021 9:56,6/4/2021,KL KG,PIC,PICG2,data download,PICG2-O,outside,completed,100,9,hobo,,,,,
6/4/2021 9:56,6/4/2021,KL KG,PIC,PICG3,collect,PICG3-O,outside,completed,100,9,hobo,,,,,
6/4/2021 9:57,6/4/2021,KL KG,PIC,PICG3,collect,PICG3-I,inside,completed,100,9,hobo,,,,,
6/4/2021 10:03,6/4/2021,"KL, KG",PIC,PICG6,deploy,PICG6-I,inside,NA,100,0,hobo,,,,,
6/4/2021 10:04,6/4/2021,"KL, KG",PIC,PICG6,deploy,PICG6-O,outside,NA,100,0,hobo,,,,,
6/4/2021 10:23,6/4/2021,"KL, KG",PIC,PICO10,deploy,PICO10-I,inside,NA,100,0,hobo,,,,,
6/4/2021 10:23,6/4/2021,"KL, KG",PIC,PICO10,deploy,PICO10-O,outside,NA,100,0,hobo,,,,,
6/4/2021 10:33,6/4/2021,KL KG,PIC,PCT7,collect,PCT7-I,inside,completed,100,9,hobo,,,,,
6/4/2021 10:34,6/4/2021,KL KG,PIC,PCT7,collect,PCT7-O,outside,completed,100,10,hobo,,,,,
6/4/2021 10:45,6/4/2021,KL KG,PIC,PCT9,collect,PCT9-I,inside,completed,100,9,hobo,,,,,
6/4/2021 10:46,6/4/2021,KL KG,PIC,PCT9,collect,PCT9-O,outside,completed,100,9,hobo,,,,,
6/4/2021 10:57,6/4/2021,"KL, KG",PIC,PCT2,collect,PCT2-I,inside,completed,100,11,hobo,,,,,
6/4/2021 10:58,6/4/2021,"KL, KG",PIC,PCT2,collect,PCT2-O,outside,completed,100,11,hobo,,,,,
6/4/2021 11:13,6/4/2021,KL KG,PIC,PCC9,deploy,PCC9-I,inside,NA,100,0,hobo,,,,,
6/4/2021 11:13,6/4/2021,KL KG,PIC,PCC9,deploy,PCC9-O,outside,completed,100,0,hobo,,,,,
6/4/2021 11:34,6/4/2021,KL KG,PIC,PCE8,deploy,PCE8-O,outside,completed,100,0,hobo,,,,,
6/4/2021 11:34,6/4/2021,"KL, KG",PIC,PCE8,deploy,PCE8-I,inside,NA,100,0,hobo,,,,,
6/10/2021 13:09,6/10/2021,KL KG,BRO,BRO9,deploy,cam9,,,,,camera,card1,NA,full,empty,
6/10/2021 13:10,6/10/2021,KL KG,RRR,RRC11,deploy,cam1,,,,,camera,card14,NA,full,empty,
6/10/2021 13:23,6/10/2021,KL KG,BRO,BRO5,deploy,BRO5-I,inside,NA,100,0,hobo,,,,,
6/10/2021 13:23,6/10/2021,"KL, KG",DCC,BRO5,deploy,BRO5-O,outside,NA,100,0,hobo,,,,,
6/10/2021 13:52,6/10/2021,KL KG,MCN,MCO1,collect,MCO1-I,inside,completed,100,7,hobo,,,,,
6/10/2021 13:53,6/10/2021,KL KG,MCN,MCO1,collect,MCO1-O,outside,completed,100,7,hobo,,,,,
6/10/2021 13:59,6/10/2021,KL KG,MCN,MCE4,collect,MCE4-I,inside,completed,100,7,hobo,,,,,
6/10/2021 14:00,6/10/2021,KL KG,MCN,MCE4,collect,MCE4-O,outside,completed,100,7,hobo,,,,,
6/11/2021 8:58,6/11/2021,"KL, KG",PIC,PICO5,data download,PICO5-I,inside,completed,100,11,hobo,,,,,
6/11/2021 8:59,6/11/2021,"KL, KG",PIC,PICO5,data download,PICO5-O,outside,completed,100,11,hobo,,,,,
6/11/2021 8:59,6/11/2021,"KL, KG",PIC,PICO5,collect,cam3,,,,,camera,NA,card3,low,full,
6/11/2021 9:15,6/11/2021,KL KG POK,PIC,PICO2,deploy,PICO2-I,inside,NA,100,0,hobo,,,,,
6/11/2021 9:16,6/11/2021,KL KG POK,PIC,PICO2,deploy,PICO2-O,outside,NA,100,0,hobo,,,,,
6/11/2021 9:58,6/11/2021,"KL, KG",PIC,PICO10,deploy,cam3,,,,,camera,card9,card3,full,empty,
6/11/2021 10:29,6/11/2021,"KL, KG",PIC,PICR4,collect,PICR4-I,inside,completed,100,11,hobo,,,,,
6/11/2021 10:29,6/11/2021,"KL, KG",PIC,PICR4,collect,PICR4-O,outside,completed,100,11,hobo,,,,,
6/11/2021 11:58,6/11/2021,"KL, KG",PIC,PCC9,deploy,PCC9-I,inside,NA,100,0,hobo,,,,,
6/11/2021 11:59,6/11/2021,"KL, KG",PIC,PCC9,deploy,PCC9-O,outside,NA,100,0,hobo,,,,,
6/11/2021 12:18,6/11/2021,KL KG POK,PIC,PCE8,deploy,cam10,,,,,camera,card 8,NA,full,empty,
6/16/2021 6:46,6/16/2021,"KL, KG",MBN,MBNR2,collect,MBNR2-I,inside,completed,100,11,hobo,,,,,
6/16/2021 6:46,6/16/2021,"KL, KG",MBN,MBNR2,collect,MBNR2-O,outside,completed,100,11,hobo,,,,,
6/16/2021 7:02,6/16/2021,"KL, KG",MBN,MBNR5,collect,MBNR5-I,inside,completed,100,11,hobo,,,,,
6/16/2021 7:02,6/16/2021,"KL, KG",MBN,MBNR5,collect,MBNR5-O,outside,completed,100,11,hobo,,,,,
6/16/2021 9:07,6/16/2021,"KL, KG, TP",MBN,MBNC6,deploy,MBNC6-I,inside,NA,100,0,hobo,,,,,
6/16/2021 9:07,6/16/2021,"KL, KG, TP",MBN,MBNC6,deploy,MBNC6-O,outside,NA,100,0,hobo,,,,,
6/16/2021 10:30,6/16/2021,KL KG TP,BRO,BRO3,collect,BRO3-I,inside,completed,100,11,hobo,,,,,
6/16/2021 10:31,6/16/2021,KL KG TP,BRO,BRO3,collect,BRO3-O,outside,completed,100,11,hobo,,,,,
6/17/2021 7:53,6/17/2021,"KL, KG",RRR,RRRR2,collect,RU-C-02-I,inside,completed,100,21,hobo,,,,,
6/17/2021 7:53,6/17/2021,"KL, KG",RRR,RRRR2,collect,RU-C-02-O,outside,completed,100,21,hobo,,,,,
6/17/2021 7:54,6/17/2021,"KL, KG",RRR,RRRR2,collect,cam7,,,,,camera,NA,card7,low,full,
6/17/2021 8:02,6/17/2021,"KL, KG",RRR,RRRR3,collect,RRRR3-I,inside,completed,100,11,hobo,,,,,
